"Story","Title","Result","Date","Stability","Duration (s)"
"Login steps","User navigates to mixcloud website","ERROR","2021-04-09T12:28:34.407+03:00","0.0","0.22"
"Login steps","User navigates to mixcloud website","ERROR","2021-04-09T12:47:50.754+03:00","0.0","0.23"
